Time (s),Abs (au)
0,0.059091404
62.1,0.058994401
124.32,0.059073314
186.48,0.059373196
248.7,0.059101786
310.92,0.059085473
373.08,0.059052493
435.24,0.059145328
497.46,0.059028652
559.62,0.059241951
621.78,0.059146188
683.94,0.059278712
746.16,0.058533791
808.32,0.059005938
870.48,0.059433091
932.7,0.059415255
994.86,0.059135661
1057.02,0.059093483
1119.24,0.059346844
1181.46,0.059482012
1243.68,0.059214033
1305.84,0.059152953
1368.06,0.059332125
1430.22,0.059159003
1492.44,0.059259694
1554.6,0.059178375
1616.76,0.058981415
1678.98,0.059287407
1741.14,0.059185196
1803.3,0.059302717
1865.46,0.059013586
1927.62,0.059155148
1989.84,0.059160043
2052,0.059249014
2114.16,0.05917247
2176.38,0.059006054
2238.54,0.059276547
2300.7,0.058982808
2362.86,0.058717832
2425.08,0.059206378
2487.24,0.059280492
2549.46,0.058883131
2611.56,0.059038557
2673.84,0.059552047
2736,0.058914527
2798.22,0.059019636
2860.44,0.059316989
2922.6,0.058890037
2984.76,0.05904099
3046.92,0.059155267
3109.14,0.05875707
3171.3,0.05881694
3233.46,0.059135925
3295.62,0.059141412
3357.9,0.059183773
3420.06,0.059236817
3482.28,0.059131477
3544.38,0.059105672
3606.66,0.05878232
3668.76,0.059154496
3730.98,0.059209019
3793.14,0.059038199
3855.3,0.05920092
3917.52,0.058800519
3979.68,0.059230942
4041.84,0.059082121
4104,0.059186384
4166.28,0.058922917
4228.44,0.059053265
4290.72,0.059162535
4352.88,0.059009347
4415.04,0.058783773
4477.2,0.059358656
4539.42,0.05873289
4601.58,0.058960095
4663.8,0.059155561
4725.96,0.058682125
4788.18,0.05918926
4850.4,0.058802623
4912.62,0.059015397
4974.78,0.059163898
5037,0.059010118
5099.22,0.059013795
5161.38,0.058930211
5223.54,0.058710959
5285.76,0.05920003
5347.92,0.05893679
5410.14,0.058936674
5472.3,0.059278209
5534.52,0.058948711
5596.74,0.059309304
5658.96,0.059144974
5721.06,0.05896217
5783.28,0.058946606
5845.5,0.058969852
5907.66,0.058845572
5969.88,0.059008103
6032.04,0.058997042
6094.26,0.059086453
6156.48,0.059314113
6218.64,0.059132781
6280.8,0.059134442
6343.08,0.0588376
6405.3,0.058872815
6467.46,0.059115548
6529.62,0.058927808
6591.78,0.058934774
6653.94,0.058875185
6716.16,0.059028681
6778.38,0.059187245
6840.54,0.058880314
6902.76,0.05856673
6964.98,0.059101075
7027.2,0.059153873
7089.42,0.058878329
7151.64,0.058697626
7213.86,0.059125751
7276.08,0.058958139
7338.24,0.058684289
7400.46,0.058772895
7462.62,0.059060115
7524.78,0.058968633
7586.94,0.059014149
7649.22,0.059120592
7711.38,0.058899049
7773.6,0.058763117
7835.82,0.05907714
7898.04,0.058967065
7960.2,0.059568346
8022.36,0.059006382
8084.52,0.058992978
8146.8,0.059037015
8208.96,0.058860157
8271.12,0.058939934
8333.28,0.058982957
8395.5,0.059180275
8457.6,0.059110831
8519.88,0.058764569
8582.04,0.059057862
8644.26,0.058879219
8706.54,0.059368983
8768.7,0.059353609
8830.86,0.059243642
8893.08,0.058991227
8955.3,0.058893181
9017.46,0.059148859
9079.68,0.058983728
9141.84,0.058565456
9204.06,0.058773283
9266.4,0.05903998
9328.62,0.058791984
9390.84,0.059321769
9453,0.058844831
9515.22,0.059045702
9577.5,0.059087548
9639.72,0.058931187
9701.88,0.058672853
9764.1,0.059014715
9826.32,0.059015129
9888.54,0.058808818
9950.82,0.059353523
10013.1,0.059395041
10075.32,0.059163809
10137.6,0.058972817
10199.82,0.05893356
10262.1,0.059727848
10324.38,0.059321087
10386.6,0.058952089
10448.88,0.059288889
10511.04,0.059169624
10573.32,0.059114926
