Time (min), Temp (C)
0.017,20.18
0.067,20.17
0.116,20.17
0.166,20.17
0.216,20.17
0.265,20.15
0.315,20.18
0.365,20.18
0.414,20.16
0.464,20.17
0.514,20.16
0.563,20.15
0.613,20.15
0.663,20.17
0.713,20.15
0.762,20.17
0.812,20.16
0.862,20.17
0.912,20.18
0.961,20.18
1.011,20.17
1.061,20.17
1.11,20.19
1.16,20.18
1.21,20.19
1.259,20.2
1.309,20.18
1.359,20.21
1.409,20.21
1.458,20.21
1.508,20.21
1.558,20.21
1.608,20.2
1.657,20.21
1.707,20.21
1.757,20.22
1.806,20.22
1.856,20.23
1.906,20.23
1.955,20.24
2.005,20.24
2.055,20.24
2.104,20.25
2.154,20.24
2.204,20.24
2.254,20.27
2.303,20.25
2.353,20.27
2.403,20.27
2.452,20.28
2.502,20.29
2.552,20.3
2.602,20.32
2.651,20.29
2.701,20.3
2.75,20.31
2.8,20.31
2.85,20.32
2.9,20.31
2.949,20.33
2.999,20.32
3.049,20.35
3.098,20.36
3.148,20.33
3.198,20.34
3.247,20.37
3.297,20.35
3.347,20.38
3.396,20.37
3.446,20.37
3.496,20.37
3.546,20.38
3.596,20.38
3.645,20.41
3.695,20.4
3.745,20.4
3.794,20.4
3.844,20.42
3.894,20.43
3.943,20.42
3.993,20.43
4.043,20.41
4.092,20.44
4.142,20.43
4.192,20.46
4.242,20.44
4.291,20.46
4.341,20.46
4.391,20.45
4.44,20.47
4.49,20.46
4.54,20.49
4.589,20.48
4.639,20.49
4.689,20.5
4.739,20.5
4.788,20.51
4.838,20.51
4.888,20.52
4.937,20.5
4.987,20.52
5.037,20.51
5.086,20.53
5.136,20.54
5.186,20.53
5.235,20.54
5.285,20.55
5.335,20.56
5.384,20.57
5.434,20.58
5.484,20.58
5.534,20.58
5.583,20.58
5.633,20.58
5.683,20.58
5.733,20.6
5.782,20.61
5.832,20.6
5.881,20.61
5.931,20.62
5.981,20.62
6.03,20.62
6.08,20.64
6.13,20.66
6.18,20.64
6.229,20.66
6.279,20.65
6.329,20.66
6.379,20.64
6.428,20.67
6.478,20.67
6.527,20.67
6.577,20.69
6.627,20.69
6.677,20.68
6.726,20.69
6.776,20.69
6.826,20.69
6.875,20.69
6.925,20.71
6.975,20.69
