Time (s),Temp (K)
0.06,293.34999999999997
3.0599999999999996,293.35999999999996
6.0600000000000005,293.34999999999997
9.0,293.34999999999997
12.0,293.34999999999997
15.0,293.35999999999996
17.939999999999998,293.37
20.939999999999998,293.37
23.94,293.38
26.94,293.35999999999996
29.88,293.37
32.88,293.38
35.82,293.38
38.82,293.38
41.82,293.4
44.76,293.39
47.760000000000005,293.4
50.76,293.4
53.76,293.4
56.699999999999996,293.42999999999995
59.7,293.4
62.699999999999996,293.42999999999995
65.64,293.44
68.64,293.45
71.64,293.44
74.58000000000001,293.45
77.58,293.46
80.58,293.46999999999997
83.58,293.47999999999996
86.52,293.48999999999995
89.52,293.48999999999995
92.52,293.51
95.46,293.51
98.46000000000001,293.52
101.46000000000001,293.54999999999995
104.46000000000001,293.54999999999995
107.4,293.56
110.4,293.56
113.39999999999999,293.57
116.34,293.57
119.34,293.59999999999997
122.34,293.59999999999997
125.28,293.62
128.28,293.62
131.28,293.64
134.28,293.65999999999997
137.22,293.67999999999995
140.22,293.7
143.22,293.7
146.16,293.71
149.16000000000003,293.71
152.16,293.71999999999997
155.1,293.73999999999995
158.1,293.75
161.1,293.76
164.04,293.78
167.04,293.78
170.04,293.78999999999996
172.98,293.81
175.98,293.82
178.98000000000002,293.81
181.98,293.85999999999996
184.92,293.84
187.92000000000002,293.85999999999996
190.92,293.85999999999996
193.92000000000002,293.89
196.86,293.89
199.85999999999999,293.89
202.85999999999999,293.91999999999996
205.8,293.94
208.8,293.91999999999996
211.79999999999998,293.96
214.74,293.96
217.74,293.96999999999997
220.68,293.98999999999995
223.68,293.98999999999995
226.68,294.01
229.62,294.03
232.61999999999998,294.03999999999996
235.62,294.04999999999995
238.62,294.08
241.56,294.09
244.55999999999997,294.08
247.56000000000003,294.08
250.5,294.10999999999996
253.49999999999997,294.10999999999996
256.5,294.13
259.5,294.15
262.44,294.15
265.44,294.15999999999997
268.44,294.17999999999995
271.44,294.21999999999997
274.38,294.21
277.38,294.21999999999997
280.38,294.25
283.32000000000005,294.23999999999995
286.32,294.25
289.32,294.28
292.26000000000005,294.28
295.26,294.28999999999996
298.26,294.31
301.2,294.31
304.20000000000005,294.33
307.2,294.35999999999996
310.2,294.33
313.14000000000004,294.34
316.14,294.38
319.14,294.37
322.08000000000004,294.4
325.08,294.41999999999996
328.08,294.46
331.02000000000004,294.44
334.02,294.44
337.02,294.45
339.96000000000004,294.46
342.96000000000004,294.48999999999995
345.96,294.51
348.90000000000003,294.5
351.90000000000003,294.54999999999995
354.9,294.53999999999996
357.9,294.53
360.84000000000003,294.56
363.84000000000003,294.56
366.84,294.59
369.78000000000003,294.60999999999996
372.78000000000003,294.62
375.78,294.59999999999997
378.78,294.64
381.72,294.65
384.71999999999997,294.65
387.71999999999997,294.65999999999997
390.66,294.67999999999995
393.65999999999997,294.69
396.65999999999997,294.71
399.6,294.72999999999996
402.6,294.71999999999997
405.59999999999997,294.73999999999995
408.54,294.73999999999995
411.54,294.76
414.53999999999996,294.78999999999996
417.53999999999996,294.78
420.48,294.82
423.48,294.79999999999995
426.47999999999996,294.83
429.48,294.84
432.42,294.84999999999997
435.36,294.84999999999997
438.36,294.89
441.36,294.9
444.3,294.92999999999995
447.3,294.91999999999996
450.3,294.91999999999996
453.29999999999995,294.92999999999995
456.24,294.94
459.24,294.96
462.24,294.96
465.23999999999995,295.01
468.18,295.0
471.18,295.02
474.17999999999995,295.03999999999996
477.12,295.02
480.12000000000006,295.09
483.12,295.07
486.06000000000006,295.08
489.06,295.07
492.06000000000006,295.09999999999997
495.0,295.09
498.00000000000006,295.14
501.0,295.15
503.93999999999994,295.14
506.94,295.16999999999996
509.94000000000005,295.2
512.9399999999999,295.21
515.88,295.19
518.88,295.19
521.88,295.22999999999996
524.8199999999999,295.23999999999995
527.82,295.25
530.8199999999999,295.25
533.76,295.26
536.76,295.28
539.76,295.28999999999996
542.7,295.31
545.7,295.32
548.6999999999999,295.33
551.7,295.34
554.64,295.35999999999996
557.64,295.38
560.64,295.37
563.58,295.4
566.5799999999999,295.4
569.58,295.45
572.5799999999999,295.41999999999996
575.52,295.44
578.52,295.45
581.52,295.45
584.46,295.47999999999996
587.46,295.46999999999997
590.4599999999999,295.51
593.4000000000001,295.51
596.4,295.53999999999996
599.4,295.53
602.34,295.53999999999996
605.34,295.54999999999995
608.3399999999999,295.58
611.2800000000001,295.59999999999997
614.28,295.59
617.28,295.63
620.28,295.63
623.22,295.67999999999995
626.2199999999999,295.65999999999997
629.22,295.69
632.16,295.66999999999996
635.16,295.69
638.16,295.71
641.16,295.7
644.0999999999999,295.73999999999995
647.1,295.72999999999996
650.1,295.76
653.04,295.77
656.04,295.79999999999995
659.04,295.78999999999996
661.98,295.82
664.98,295.82
667.9799999999999,295.84
670.9200000000001,295.84999999999997
673.92,295.84
676.92,295.88
679.86,295.9
682.86,295.88
685.8599999999999,295.9
688.86,295.91999999999996
691.8,295.92999999999995
694.8,295.94
697.8000000000001,295.96
700.74,295.95
703.74,295.96999999999997
706.74,295.98999999999995
709.74,296.01
712.6800000000001,296.01
715.6800000000001,296.02
718.62,296.03
721.62,296.04999999999995
724.62,296.06
727.62,296.08
730.5600000000001,296.08
733.5600000000001,296.09999999999997
736.56,296.13
739.5,296.12
742.5,296.13
745.5,296.13
748.44,296.15999999999997
751.4399999999999,296.16999999999996
754.4399999999999,296.2
757.44,296.19
760.38,296.21999999999997
763.38,296.22999999999996
766.38,296.23999999999995
769.38,296.23999999999995
772.3199999999999,296.27
775.32,296.23999999999995
778.26,296.28
781.26,296.31
784.26,296.33
787.26,296.33
790.2,296.33
793.2,296.32
796.1999999999999,296.35999999999996
799.1400000000001,296.35999999999996
802.14,296.37
805.14,296.4
808.08,296.40999999999997
811.08,296.4
814.0799999999999,296.42999999999995
817.08,296.41999999999996
820.02,296.45
823.02,296.46999999999997
826.02,296.51
828.96,296.46999999999997
831.96,296.48999999999995
834.96,296.53
837.9,296.53999999999996
840.9000000000001,296.53999999999996
843.9,296.56
846.84,296.54999999999995
849.84,296.56
852.84,296.58
855.8399999999999,296.60999999999996
858.7800000000001,296.60999999999996
861.78,296.62
864.78,296.64
867.72,296.63
870.72,296.65999999999997
873.7199999999999,296.66999999999996
876.6600000000001,296.69
879.66,296.69
882.66,296.7
885.66,296.71999999999997
888.6,296.72999999999996
891.5999999999999,296.73999999999995
894.6,296.76
897.54,296.78
900.54,296.78
903.54,296.82
906.48,296.81
909.48,296.82
912.48,296.83
915.42,296.85999999999996
918.4200000000001,296.87
921.42,296.87
924.36,296.89
927.36,296.90999999999997
930.36,296.90999999999997
933.3599999999999,296.91999999999996
936.3000000000001,296.92999999999995
939.3,296.94
942.3,296.95
945.3000000000001,296.96999999999997
948.24,296.97999999999996
951.24,297.0
954.24,297.0
957.18,297.01
960.1800000000001,297.03999999999996
963.12,297.03
966.12,297.06
969.1200000000001,297.07
972.0600000000001,297.09
975.0600000000001,297.07
978.06,297.10999999999996
981.06,297.13
983.9999999999999,297.13
987.0,297.13
990.0,297.15
993.0,297.15999999999997
995.94,297.15999999999997
998.94,297.2
1001.88,297.2
1004.8800000000001,297.19
1007.8799999999999,297.21
1010.8799999999999,297.25
1013.8199999999999,297.25
1016.8199999999999,297.26
1019.8199999999999,297.26
1022.82,297.27
1025.76,297.29999999999995
1028.76,297.28999999999996
1031.76,297.31
1034.7,297.34
1037.7,297.35999999999996
1040.6999999999998,297.34999999999997
1043.7,297.37
1046.6399999999999,297.39
1049.6399999999999,297.39
1052.58,297.4
1055.58,297.44
1058.58,297.45
1061.5800000000002,297.44
1064.52,297.46999999999997
1067.52,297.46
1070.52,297.48999999999995
1073.4599999999998,297.52
1076.46,297.52
1079.46,297.53
1082.3999999999999,297.53999999999996
1085.4,297.54999999999995
1088.4,297.57
1091.4,297.57
1094.3400000000001,297.58
1097.3400000000001,297.59999999999997
1100.34,297.62
1103.2800000000002,297.62
1106.28,297.63
1109.28,297.65
1112.28,297.66999999999996
1115.22,297.65999999999997
1118.22,297.67999999999995
1121.22,297.67999999999995
1124.16,297.69
1127.16,297.72999999999996
1130.1599999999999,297.72999999999996
1133.1000000000001,297.73999999999995
1136.1,297.77
1139.1,297.77
1142.04,297.78
1145.04,297.78
1148.04,297.82
1150.98,297.82
1153.98,297.83
1156.98,297.84
1159.92,297.84999999999997
1162.92,297.84999999999997
1165.9199999999998,297.88
1168.92,297.88
1171.86,297.89
1174.86,297.92999999999995
1177.8600000000001,297.91999999999996
1180.8,297.94
1183.8,297.95
1186.8000000000002,297.96999999999997
1189.8,297.96999999999997
1192.74,297.97999999999996
1195.74,298.0
1198.68,298.01
1201.6799999999998,298.01
1204.68,298.03999999999996
1207.68,298.04999999999995
1210.62,298.06
1213.6200000000001,298.07
1216.6200000000001,298.09
1219.56,298.12
1222.5600000000002,298.12
1225.56,298.12
1228.5,298.13
1231.5,298.15
1234.5,298.16999999999996
1237.5,298.17999999999995
1240.44,298.16999999999996
1243.44,298.19
1246.44,298.21
1249.38,298.21999999999997
1252.38,298.25
1255.3799999999999,298.22999999999996
1258.3799999999999,298.26
1261.32,298.27
1264.32,298.28
1267.26,298.28999999999996
1270.26,298.29999999999995
1273.26,298.32
1276.2,298.33
1279.2,298.34
1282.2,298.37
1285.2,298.37
1288.14,298.37
1291.1399999999999,298.38
1294.1399999999999,298.41999999999996
1297.08,298.40999999999997
1300.08,298.44
1303.08,298.44
1306.08,298.46
1309.02,298.46999999999997
1312.02,298.47999999999996
1315.02,298.5
1317.96,298.5
1320.9599999999998,298.52
1323.96,298.52
1326.8999999999999,298.53999999999996
1329.8999999999999,298.56
1332.9,298.56
1335.84,298.58
1338.84,298.58
1341.8400000000001,298.62
1344.78,298.59
1347.78,298.62
1350.7800000000002,298.64
1353.78,298.65
1356.7199999999998,298.65
1359.72,298.67999999999995
1362.72,298.67999999999995
1365.72,298.71
1368.66,298.7
1371.66,298.71
1374.66,298.71999999999997
1377.6000000000001,298.73999999999995
1380.6000000000001,298.76
1383.6,298.78999999999996
1386.5400000000002,298.78
1389.54,298.79999999999995
1392.54,298.82
1395.54,298.83
1398.48,298.83
1401.48,298.84
1404.48,298.85999999999996
1407.42,298.85999999999996
1410.42,298.88
1413.4199999999998,298.88
1416.42,298.90999999999997
1419.36,298.92999999999995
1422.36,298.92999999999995
1425.3,298.92999999999995
1428.3,298.95
1431.3,298.96
1434.3000000000002,298.97999999999996
1437.24,298.97999999999996
1440.24,299.0
1443.24,299.01
1446.18,299.01
1449.1799999999998,299.04999999999995
1452.18,299.04999999999995
1455.18,299.04999999999995
1458.12,299.08
1461.1200000000001,299.10999999999996
1464.1200000000001,299.09
1467.06,299.10999999999996
1470.0600000000002,299.13
1473.06,299.14
1476.0,299.15999999999997
1479.0,299.16999999999996
1482.0,299.15999999999997
1485.0,299.17999999999995
1487.94,299.19
1490.94,299.22999999999996
1493.94,299.21999999999997
1496.88,299.22999999999996
1499.88,299.22999999999996
1502.8799999999999,299.25
1505.8200000000002,299.27
1508.82,299.28
1511.82,299.28999999999996
1514.76,299.32
1517.76,299.32
1520.76,299.34
1523.76,299.33
1526.7,299.35999999999996
1529.7,299.35999999999996
1532.7,299.38
1535.64,299.39
1538.6399999999999,299.39
1541.6399999999999,299.41999999999996
1544.6399999999999,299.44
1547.58,299.45
1550.58,299.46
1553.58,299.46999999999997
1556.52,299.48999999999995
1559.52,299.48999999999995
1562.52,299.48999999999995
1565.46,299.53
1568.4599999999998,299.53999999999996
1571.46,299.54999999999995
1574.3999999999999,299.57
1577.3999999999999,299.56
1580.4,299.58
1583.34,299.59999999999997
1586.34,299.60999999999996
1589.3400000000001,299.62
1592.28,299.62
1595.28,299.63
